Owner,Opp,Type,Season,Week,PF,PA,tPercent,wPercent,W/L,season_week,helper
Darb,Zach,Reg,2023,6,93.5,128.1,0.109,0,0,2023_6,93.5
Zach,Darb,Reg,2023,6,128.1,93.5,0.565,0.714,1,2023_6,128.1
Shane,Matt,Reg,2023,6,109.2,127.6,0.292,0.429,0,2023_6,109.2
Matt,Shane,Reg,2023,6,127.6,109.2,0.558,0.571,1,2023_6,127.6
Shelby,Marc,Reg,2023,6,137.6,136.6,0.702,1,1,2023_6,137.6
Marc,Shelby,Reg,2023,6,136.6,137.6,0.69,0.857,0,2023_6,136.6
Ty,Shane,Reg,2023,7,123.2,102.3,0.485,0.429,1,2023_7,123.2
Shane,Ty,Reg,2023,7,102.3,123.2,0.199,0.143,0,2023_7,102.3
Matt,Darb,Reg,2023,7,128.3,90.9,0.573,0.857,1,2023_7,128.3
Darb,Matt,Reg,2023,7,90.9,128.3,0.085,0,0,2023_7,90.9
Marc,KJ,Reg,2023,7,115.7,123.5,0.389,0.286,0,2023_7,115.7
KJ,Marc,Reg,2023,7,123.5,115.7,0.49,0.571,1,2023_7,123.5
Zach,Shelby,Reg,2023,7,127.1,159.3,0.546,0.714,0,2023_7,127.1
Shelby,Zach,Reg,2023,7,159.3,127.1,0.919,1,1,2023_7,159.3
Marc,Ty,Reg,2023,8,112.1,130.6,0.314,0.143,0,2023_8,112.1
Ty,Marc,Reg,2023,8,130.6,112.1,0.613,0.571,1,2023_8,130.6
Matt,Zach,Reg,2023,8,120.9,131.1,0.453,0.286,0,2023_8,120.9
Zach,Matt,Reg,2023,8,131.1,120.9,0.62,0.714,1,2023_8,131.1
Shane,Darb,Reg,2023,8,139.1,108.7,0.723,1,1,2023_8,139.1
Darb,Shane,Reg,2023,8,108.7,139.1,0.286,0,0,2023_8,108.7
Shelby,KJ,Reg,2023,8,123.9,138.8,0.499,0.429,0,2023_8,123.9
KJ,Shelby,Reg,2023,8,138.8,123.9,0.721,0.857,1,2023_8,138.8
Ty,Zach,Reg,2023,9,143.7,91.4,0.795,1,1,2023_9,143.7
Zach,Ty,Reg,2023,9,91.4,143.7,0.086,0,0,2023_9,91.4
Matt,Marc,Reg,2023,9,138.9,123.2,0.724,0.857,1,2023_9,138.9
Marc,Matt,Reg,2023,9,123.2,138.9,0.488,0.571,0,2023_9,123.2
Darb,KJ,Reg,2023,9,96.1,120,0.132,0.286,0,2023_9,96.1
KJ,Darb,Reg,2023,9,120,96.1,0.432,0.429,1,2023_9,120
Shelby,Shane,Reg,2023,9,124,94.1,0.503,0.714,1,2023_9,124
Shane,Shelby,Reg,2023,9,94.1,124,0.117,0.143,0,2023_9,94.1
Matt,Ty,Reg,2023,10,126,110.6,0.537,0.714,1,2023_10,126
Ty,Matt,Reg,2023,10,110.6,126,0.308,0.286,0,2023_10,110.6
Zach,Marc,Reg,2023,10,107.8,123.2,0.265,0.143,0,2023_10,107.8
Marc,Zach,Reg,2023,10,123.2,107.8,0.486,0.571,1,2023_10,123.2
Shelby,Darb,Reg,2023,10,149.3,107.6,0.843,1,1,2023_10,149.3
Darb,Shelby,Reg,2023,10,107.6,149.3,0.261,0,0,2023_10,107.6
KJ,Shane,Reg,2023,10,129.7,122.8,0.601,0.857,1,2023_10,129.7
Shane,KJ,Reg,2023,10,122.8,129.7,0.48,0.429,0,2023_10,122.8
